"index","gender","car","reality","child_num","income_total","income_type","edu_type","family_type","house_type","DAYS_BIRTH","DAYS_EMPLOYED","FLAG_MOBIL","work_phone","phone","email","occyp_type","family_size","begin_month","credit"
5634,"M","Y","N",0,202500,"Working","Secondary / secondary special","Married","House / apartment",-10191,-2218,1,0,0,0,"Drivers",2,-7,"bad"
5635,"F","N","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-16784,-2188,1,0,0,1,"Sales staff",2,-51,"good"
5636,"F","N","N",0,270000,"State servant","Higher education","Married","House / apartment",-13266,-2341,1,1,1,0,"Core staff",2,-24,"good"
5637,"M","Y","Y",2,247500,"Working","Secondary / secondary special","Married","House / apartment",-17320,-535,1,0,0,0,"Laborers",4,-11,"bad"
5638,"M","Y","N",0,112500,"Working","Higher education","Single / not married","With parents",-10117,-108,1,0,0,0,"High skill tech staff",1,-10,"bad"
5639,"F","N","Y",2,202500,"State servant","Secondary / secondary special","Married","Co-op apartment",-14032,-1777,1,0,0,0,"High skill tech staff",4,-58,"bad"
5640,"F","N","Y",1,360000,"Working","Secondary / secondary special","Married","House / apartment",-10556,-1379,1,0,0,0,"Managers",3,-35,"good"
5641,"M","N","N",0,540000,"Commercial associate","Higher education","Married","House / apartment",-19996,-691,1,0,0,0,"Managers",2,-6,"bad"
5642,"F","Y","N",0,247500,"State servant","Higher education","Single / not married","House / apartment",-16918,-4174,1,1,0,0,"Managers",1,-10,"bad"
5643,"F","N","Y",0,157500,"Working","Incomplete higher","Single / not married","House / apartment",-9574,-171,1,1,1,0,"Medicine staff",1,-39,"bad"
5644,"F","N","Y",1,135000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-16323,-5467,1,0,0,0,"Medicine staff",3,-5,"good"
5645,"F","N","N",0,216000,"Working","Secondary / secondary special","Married","House / apartment",-15477,-436,1,0,0,0,"High skill tech staff",2,-12,"bad"
5646,"F","Y","N",0,112500,"Commercial associate","Higher education","Married","House / apartment",-10828,-657,1,0,0,0,"Core staff",2,-27,"bad"
5647,"F","N","N",1,67500,"Working","Secondary / secondary special","Married","House / apartment",-16207,-870,1,0,0,0,"",3,-12,"bad"
5648,"F","N","Y",1,315000,"Commercial associate","Secondary / secondary special","Separated","Municipal apartment",-18794,-1842,1,0,1,0,"Cleaning staff",2,-17,"bad"
5649,"F","N","Y",0,157500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-13921,-2542,1,0,0,0,"Sales staff",2,-43,"good"
5650,"F","N","Y",0,180000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-20560,-661,1,0,0,0,"Sales staff",2,-5,"good"
5651,"F","N","Y",0,76500,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-22204,365243,1,0,1,0,"",1,-19,"bad"
5652,"F","N","Y",0,121500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-17835,-3273,1,0,0,0,"Core staff",2,-33,"good"
5653,"F","N","Y",0,112500,"Working","Higher education","Single / not married","House / apartment",-14446,-3161,1,0,0,0,"",1,-59,"good"
5654,"M","Y","N",0,270000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-11706,-1164,1,1,0,1,"Drivers",2,-16,"bad"
5655,"F","N","Y",0,72000,"Pensioner","Lower secondary","Married","House / apartment",-23316,365243,1,0,0,0,"",2,-53,"bad"
5656,"F","N","N",0,135000,"Pensioner","Higher education","Single / not married","House / apartment",-24022,365243,1,0,0,0,"",1,-7,"good"
5657,"F","N","Y",1,112500,"Working","Secondary / secondary special","Single / not married","House / apartment",-15823,-1656,1,0,0,0,"Cleaning staff",2,-8,"bad"
5658,"F","N","N",0,90000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-21688,365243,1,0,1,0,"",1,-53,"bad"
5659,"F","Y","Y",0,225000,"Pensioner","Higher education","Married","House / apartment",-22964,365243,1,0,0,0,"",2,-38,"bad"
5660,"M","Y","Y",0,135000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-14856,-1721,1,0,0,0,"Laborers",2,0,"good"
5661,"F","N","N",0,67500,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-18989,-171,1,0,0,0,"Laborers",2,-13,"bad"
5662,"F","N","Y",0,157500,"Pensioner","Secondary / secondary special","Married","House / apartment",-20578,365243,1,0,1,0,"",2,-34,"good"
5663,"F","N","Y",0,202500,"Pensioner","Secondary / secondary special","Separated","House / apartment",-23602,365243,1,0,1,0,"",1,-44,"bad"
5664,"M","Y","Y",0,180000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-11445,-3319,1,0,0,0,"Sales staff",2,-26,"bad"
5665,"F","N","Y",0,315000,"Working","Secondary / secondary special","Married","House / apartment",-22334,-14810,1,0,0,0,"Medicine staff",2,-32,"bad"
5666,"F","Y","Y",0,90000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-14116,-2269,1,0,0,0,"Medicine staff",2,-37,"bad"
5667,"F","Y","Y",0,162000,"Pensioner","Higher education","Married","House / apartment",-23886,365243,1,0,1,0,"",2,-48,"bad"
5668,"F","N","Y",1,67500,"Working","Secondary / secondary special","Separated","House / apartment",-11126,-2087,1,1,1,0,"Accountants",2,-19,"good"
5669,"F","Y","Y",0,180000,"Working","Higher education","Married","House / apartment",-20720,-7090,1,0,1,0,"Laborers",2,-22,"bad"
5670,"F","Y","N",0,562500,"Working","Higher education","Married","House / apartment",-14654,-2836,1,1,0,0,"Managers",2,-28,"good"
5671,"F","Y","Y",0,315000,"Commercial associate","Incomplete higher","Single / not married","House / apartment",-9130,-1390,1,0,1,0,"Core staff",1,-38,"bad"
5672,"F","N","Y",0,135000,"Pensioner","Higher education","Married","House / apartment",-22747,365243,1,0,0,0,"",2,-6,"bad"
5673,"F","N","Y",0,360000,"Working","Secondary / secondary special","Widow","House / apartment",-18388,-7830,1,0,0,0,"Core staff",1,-28,"bad"
5674,"F","Y","Y",0,117000,"Working","Secondary / secondary special","Married","House / apartment",-18746,-218,1,0,0,0,"Sales staff",2,-19,"bad"
5675,"F","N","Y",1,135000,"Commercial associate","Secondary / secondary special","Married","With parents",-11034,-2421,1,0,0,0,"Laborers",3,-49,"good"
5676,"M","Y","Y",0,157500,"Working","Higher education","Married","House / apartment",-18750,-536,1,0,0,0,"Security staff",2,-16,"good"
5677,"F","N","N",2,202500,"Working","Secondary / secondary special","Married","House / apartment",-13446,-2720,1,0,0,0,"Sales staff",4,-7,"bad"
5678,"M","N","N",0,270000,"Working","Secondary / secondary special","Single / not married","House / apartment",-15213,-1331,1,0,0,0,"Drivers",1,-18,"bad"
5679,"F","Y","Y",1,270000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-14186,-1736,1,0,1,0,"Sales staff",3,-16,"bad"
5680,"M","Y","N",2,112500,"Working","Secondary / secondary special","Married","House / apartment",-13095,-217,1,0,1,0,"Laborers",4,-48,"good"
5681,"F","N","Y",4,180000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-17468,-7413,1,0,0,0,"Core staff",6,-31,"good"
5682,"F","Y","N",1,225000,"Commercial associate","Higher education","Civil marriage","With parents",-9932,-668,1,0,1,1,"Accountants",3,-36,"good"
5683,"M","Y","Y",2,180000,"Working","Higher education","Married","House / apartment",-13174,-2477,1,0,0,0,"Managers",4,-26,"bad"
5684,"F","N","Y",0,49500,"Pensioner","Secondary / secondary special","Married","House / apartment",-22446,365243,1,0,0,0,"",2,-47,"bad"
5685,"F","N","Y",0,135000,"Working","Higher education","Married","House / apartment",-13299,-1628,1,0,0,0,"Laborers",2,-1,"good"
5686,"F","Y","Y",0,121500,"Pensioner","Secondary / secondary special","Married","House / apartment",-23683,365243,1,0,1,0,"",2,-49,"good"
5687,"F","Y","N",1,184500,"Working","Higher education","Separated","With parents",-13438,-4447,1,1,0,0,"Core staff",2,-57,"bad"
5688,"F","N","Y",0,157500,"Pensioner","Secondary / secondary special","Married","House / apartment",-20850,365243,1,0,0,0,"",2,-1,"good"
5689,"F","Y","Y",0,225000,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-21895,365243,1,0,0,0,"",1,-7,"good"
5690,"F","Y","Y",0,225000,"Working","Secondary / secondary special","Married","House / apartment",-15798,-887,1,1,1,0,"Managers",2,-6,"good"
5691,"M","N","N",2,112500,"Working","Higher education","Married","House / apartment",-11278,-4459,1,0,0,0,"Low-skill Laborers",4,-12,"good"
5692,"M","Y","Y",1,144000,"Working","Secondary / secondary special","Married","House / apartment",-8696,-1070,1,0,0,1,"Drivers",3,-2,"good"
5693,"F","N","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-18382,-4548,1,1,1,0,"Accountants",2,-49,"bad"
5694,"F","N","Y",0,202500,"Pensioner","Secondary / secondary special","Widow","House / apartment",-21126,365243,1,0,0,0,"",1,-27,"bad"
5695,"F","N","Y",0,252000,"Commercial associate","Higher education","Married","House / apartment",-17512,-3232,1,0,1,1,"Accountants",2,-38,"bad"
5696,"F","N","Y",0,72000,"Pensioner","Secondary / secondary special","Married","House / apartment",-24206,365243,1,0,1,0,"",2,-50,"bad"
5697,"F","Y","Y",0,81000,"Working","Secondary / secondary special","Married","House / apartment",-13170,-763,1,1,0,0,"Core staff",2,-13,"good"
5698,"M","Y","N",0,157500,"Working","Higher education","Married","House / apartment",-20516,-2265,1,0,1,0,"Laborers",2,-45,"bad"
5699,"F","N","Y",0,423000,"Commercial associate","Secondary / secondary special","Separated","House / apartment",-13480,-3153,1,0,0,0,"Private service staff",1,-28,"good"
5700,"F","Y","Y",0,382500,"Commercial associate","Higher education","Married","House / apartment",-20054,-6427,1,0,1,0,"Managers",2,-3,"good"
5701,"F","N","N",0,157500,"Working","Higher education","Married","House / apartment",-11644,-344,1,0,0,0,"Managers",2,-4,"good"
5702,"M","Y","Y",0,315000,"Working","Secondary / secondary special","Married","House / apartment",-14170,-921,1,0,0,0,"Managers",2,-29,"bad"
5703,"F","N","Y",0,180000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-10438,-2264,1,0,1,0,"",2,-48,"bad"
5704,"F","N","Y",0,315000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-14419,-2423,1,0,0,0,"",2,-24,"bad"
5705,"F","N","Y",2,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",-22087,365243,1,0,0,0,"",4,-20,"bad"
5706,"M","N","N",0,171000,"Commercial associate","Higher education","Married","House / apartment",-10151,-472,1,0,1,0,"Security staff",2,-9,"bad"
5707,"F","N","Y",0,180000,"Pensioner","Secondary / secondary special","Married","House / apartment",-19721,365243,1,0,0,0,"",2,-54,"bad"
5708,"F","N","Y",0,135000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-24174,365243,1,0,0,0,"",1,-19,"bad"
5709,"F","N","Y",0,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",-21065,365243,1,0,1,0,"",2,-31,"good"
5710,"F","Y","Y",0,225000,"Pensioner","Higher education","Married","House / apartment",-22964,365243,1,0,0,0,"",2,-38,"bad"
5711,"M","N","Y",0,81000,"Commercial associate","Higher education","Single / not married","House / apartment",-9874,-1928,1,0,1,0,"Laborers",1,-2,"good"
5712,"F","N","N",1,675000,"Commercial associate","Higher education","Married","House / apartment",-10885,-1039,1,1,0,0,"Sales staff",3,-7,"bad"
5713,"M","N","Y",0,270000,"Pensioner","Higher education","Married","House / apartment",-15237,365243,1,0,0,0,"",2,-43,"bad"
5714,"F","N","Y",0,157500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-11853,-5061,1,1,0,0,"Waiters/barmen staff",2,-4,"good"
5715,"F","N","Y",1,270000,"Commercial associate","Higher education","Married","House / apartment",-14850,-232,1,0,0,1,"Core staff",3,-8,"bad"
5716,"M","N","Y",1,81000,"Working","Secondary / secondary special","Married","House / apartment",-16055,-3664,1,0,1,0,"Laborers",3,-41,"bad"
5717,"F","N","Y",0,180000,"Pensioner","Secondary / secondary special","Separated","Municipal apartment",-21936,365243,1,0,0,0,"",1,-13,"good"
5718,"F","Y","N",1,315000,"Commercial associate","Higher education","Married","House / apartment",-14504,-2518,1,0,0,0,"Accountants",3,-21,"bad"
5719,"F","Y","Y",3,405000,"Working","Secondary / secondary special","Married","House / apartment",-13886,-4003,1,0,0,0,"Accountants",5,-36,"bad"
5720,"F","Y","Y",2,121500,"Working","Incomplete higher","Married","House / apartment",-11327,-101,1,1,1,0,"Core staff",4,-36,"bad"
5721,"M","Y","Y",0,369000,"Working","Secondary / secondary special","Married","House / apartment",-16981,-1246,1,0,0,0,"Drivers",2,-26,"bad"
5722,"M","N","Y",1,202500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15085,-4033,1,0,0,1,"",3,-49,"bad"
5723,"F","N","Y",0,135000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-19301,-4821,1,1,1,0,"Managers",2,-35,"good"
5724,"F","N","Y",1,135000,"Commercial associate","Higher education","Married","House / apartment",-9778,-2910,1,1,0,1,"Core staff",3,-50,"good"
5725,"M","Y","Y",0,157500,"Commercial associate","Secondary / secondary special","Single / not married","Municipal apartment",-9862,-2135,1,1,0,0,"Laborers",1,-42,"good"
5726,"M","N","N",0,225000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-10583,-1296,1,0,0,0,"Laborers",2,-47,"bad"
5727,"M","Y","Y",0,315000,"Working","Higher education","Single / not married","House / apartment",-10328,-543,1,0,1,0,"High skill tech staff",1,-5,"good"
5728,"M","N","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-21813,-4391,1,1,0,0,"Low-skill Laborers",2,-5,"bad"
5729,"F","N","Y",2,180000,"State servant","Higher education","Married","House / apartment",-11020,-3578,1,0,0,0,"Core staff",4,-54,"bad"
5730,"M","N","N",3,126000,"Working","Secondary / secondary special","Civil marriage","With parents",-12072,-1422,1,0,0,1,"",5,-45,"bad"
5731,"F","Y","Y",1,135000,"Working","Higher education","Married","House / apartment",-12071,-721,1,0,0,0,"",3,-22,"bad"
5732,"M","N","N",1,315000,"Working","Secondary / secondary special","Married","House / apartment",-17537,-1749,1,0,0,0,"Laborers",3,-5,"good"
5733,"F","N","Y",0,130500,"Working","Secondary / secondary special","Married","House / apartment",-13520,-5488,1,0,0,0,"Core staff",2,-31,"bad"
5734,"F","Y","Y",0,247500,"Working","Secondary / secondary special","Single / not married","With parents",-11770,-285,1,0,0,0,"Sales staff",1,-25,"bad"
5735,"M","Y","N",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-16624,-4054,1,0,0,0,"Laborers",2,-5,"bad"
5736,"F","N","Y",2,157500,"Commercial associate","Higher education","Married","House / apartment",-12135,-1216,1,0,0,0,"High skill tech staff",4,-18,"bad"
5737,"F","N","N",0,135000,"State servant","Secondary / secondary special","Married","House / apartment",-20875,-3785,1,0,0,0,"High skill tech staff",2,-58,"bad"
5738,"M","Y","Y",0,135000,"Working","Higher education","Civil marriage","House / apartment",-19322,-663,1,1,1,0,"Laborers",2,-29,"good"
5739,"F","Y","N",0,144000,"Working","Secondary / secondary special","Widow","House / apartment",-14407,-1345,1,0,0,0,"HR staff",1,-11,"bad"
5740,"M","N","N",0,202500,"Working","Incomplete higher","Single / not married","House / apartment",-15744,-4365,1,1,1,1,"",1,-58,"good"
5741,"F","N","Y",0,126000,"Pensioner","Secondary / secondary special","Married","Rented apartment",-21823,365243,1,0,0,0,"",2,-40,"bad"
5742,"M","Y","Y",0,157500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-18778,-1785,1,0,0,0,"",2,-30,"bad"
5743,"M","Y","Y",1,225000,"Working","Secondary / secondary special","Married","House / apartment",-11378,-867,1,0,1,0,"Drivers",3,-48,"bad"
5744,"F","N","Y",0,247500,"Working","Secondary / secondary special","Widow","House / apartment",-18040,-4813,1,0,0,0,"",1,-55,"bad"
5745,"F","N","Y",0,202500,"Commercial associate","Secondary / secondary special","Separated","House / apartment",-16806,-2670,1,0,0,0,"Sales staff",1,-28,"bad"
5746,"M","Y","Y",0,108000,"Working","Higher education","Married","House / apartment",-20839,-536,1,0,0,0,"Laborers",2,-9,"bad"
5747,"M","N","Y",0,135000,"Pensioner","Higher education","Married","House / apartment",-23325,365243,1,0,0,0,"",2,-8,"bad"
5748,"M","Y","Y",0,135000,"Working","Secondary / secondary special","Married","Office apartment",-14917,-8157,1,1,1,0,"Drivers",2,-25,"bad"
5749,"F","N","N",0,135000,"Working","Secondary / secondary special","Single / not married","House / apartment",-16814,-6614,1,0,0,0,"",1,-17,"good"
5750,"M","Y","Y",0,135000,"Working","Secondary / secondary special","Single / not married","House / apartment",-9662,-831,1,0,0,0,"Drivers",1,-42,"good"
5751,"F","N","Y",0,216000,"Pensioner","Secondary / secondary special","Married","House / apartment",-23113,365243,1,0,0,0,"",2,-5,"bad"
5752,"F","Y","N",0,144000,"Pensioner","Secondary / secondary special","Married","House / apartment",-22877,365243,1,0,1,1,"",2,-30,"bad"
5753,"F","N","N",1,72000,"Working","Higher education","Married","House / apartment",-12522,-382,1,0,0,0,"High skill tech staff",3,-11,"bad"
5754,"M","N","N",0,225000,"State servant","Secondary / secondary special","Married","House / apartment",-15108,-211,1,1,1,0,"Drivers",2,-52,"bad"
5755,"M","N","N",0,157500,"State servant","Higher education","Married","House / apartment",-11965,-3876,1,0,0,0,"Core staff",2,-14,"good"
5756,"M","Y","N",1,112500,"Working","Secondary / secondary special","Married","House / apartment",-19584,-2199,1,0,0,0,"Laborers",3,-31,"bad"
5757,"F","N","Y",0,202500,"Working","Secondary / secondary special","Married","House / apartment",-20295,-3700,1,0,0,0,"Laborers",2,-35,"bad"
5758,"F","Y","Y",0,180000,"Commercial associate","Higher education","Single / not married","House / apartment",-15161,-7140,1,0,0,0,"Core staff",1,-40,"bad"
5759,"F","N","Y",1,180000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-11920,-2967,1,0,0,0,"Realty agents",3,-39,"bad"
5760,"F","N","N",0,67500,"State servant","Secondary / secondary special","Married","Municipal apartment",-17104,-3024,1,1,0,0,"Core staff",2,-29,"bad"
5761,"F","N","Y",0,90000,"Working","Secondary / secondary special","Separated","House / apartment",-18561,-3565,1,1,1,0,"",1,-21,"bad"
5762,"F","N","Y",0,157500,"Pensioner","Secondary / secondary special","Married","House / apartment",-20578,365243,1,0,1,0,"",2,-9,"bad"
5763,"F","N","Y",1,90000,"Working","Higher education","Single / not married","House / apartment",-16154,-2178,1,0,0,0,"Core staff",2,-29,"good"
5764,"F","N","Y",0,103500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-18292,-638,1,1,1,0,"Laborers",2,-28,"good"
5765,"F","N","Y",0,225000,"Commercial associate","Higher education","Married","House / apartment",-9850,-246,1,0,0,0,"",2,-13,"bad"
5766,"F","N","Y",0,157500,"Pensioner","Secondary / secondary special","Married","House / apartment",-22229,365243,1,0,0,0,"",2,-1,"good"
5767,"M","Y","Y",0,256500,"Commercial associate","Higher education","Married","House / apartment",-21503,-1674,1,0,0,1,"Core staff",2,-18,"bad"
5768,"F","N","Y",1,112500,"Working","Secondary / secondary special","Married","House / apartment",-10406,-2774,1,0,0,1,"Core staff",3,-4,"good"
5769,"M","N","N",0,225000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-21729,-4249,1,1,1,1,"Laborers",2,-55,"good"
5770,"F","N","Y",1,185400,"Working","Higher education","Married","House / apartment",-14817,-413,1,0,0,1,"Core staff",3,-15,"bad"
5771,"F","N","Y",0,99000,"Commercial associate","Secondary / secondary special","Widow","House / apartment",-21678,-1239,1,0,0,0,"Security staff",1,-10,"bad"
5772,"F","N","N",2,139500,"Working","Incomplete higher","Married","With parents",-13166,-2988,1,1,1,0,"Core staff",4,-38,"bad"
5773,"M","Y","Y",0,180000,"Commercial associate","Higher education","Married","House / apartment",-9925,-1023,1,0,0,0,"Laborers",2,-15,"bad"
5774,"F","N","Y",0,112500,"Working","Secondary / secondary special","Single / not married","House / apartment",-8955,-1171,1,1,0,0,"Sales staff",1,-4,"bad"
5775,"F","N","Y",0,270000,"Pensioner","Higher education","Married","House / apartment",-22340,365243,1,0,0,0,"",2,-18,"bad"
5776,"F","N","Y",0,360000,"State servant","Secondary / secondary special","Separated","House / apartment",-11958,-2816,1,0,0,0,"Medicine staff",1,-16,"bad"
5777,"M","N","Y",0,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",-21720,365243,1,0,1,0,"",2,-3,"good"
5778,"M","Y","Y",0,247500,"Working","Secondary / secondary special","Separated","House / apartment",-20196,-2697,1,0,0,0,"Drivers",1,-17,"bad"
5779,"F","N","Y",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-14425,-4568,1,1,1,0,"Laborers",2,-9,"bad"
5780,"F","N","Y",0,157500,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-24216,365243,1,0,0,0,"",1,-24,"bad"
5781,"F","N","Y",0,180000,"State servant","Secondary / secondary special","Civil marriage","House / apartment",-16091,-7371,1,1,0,0,"Core staff",2,-10,"bad"
5782,"M","N","N",0,135000,"Commercial associate","Higher education","Married","House / apartment",-13155,-2927,1,1,0,0,"Managers",2,-24,"good"
5783,"F","N","N",0,67500,"Working","Secondary / secondary special","Married","With parents",-16182,-2827,1,1,1,0,"Cooking staff",2,-31,"bad"
5784,"F","Y","N",0,31500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-17762,-7734,1,1,1,0,"Cleaning staff",2,-34,"bad"
5785,"F","N","Y",2,135000,"Working","Secondary / secondary special","Married","House / apartment",-12908,-3592,1,0,1,0,"Sales staff",4,-17,"bad"
5786,"M","N","N",0,247500,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-15037,-2208,1,0,0,0,"Laborers",1,-30,"bad"
5787,"F","N","N",0,117000,"Working","Secondary / secondary special","Married","House / apartment",-20754,-2330,1,0,0,0,"",2,-11,"bad"
5788,"M","N","Y",0,117000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-17569,-5148,1,0,0,0,"Laborers",2,-33,"bad"
5789,"M","Y","Y",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-19171,-7804,1,1,0,0,"Laborers",2,-20,"good"
5790,"F","N","Y",0,126000,"Commercial associate","Higher education","Civil marriage","With parents",-10959,-1073,1,1,1,1,"Laborers",2,-11,"good"
5791,"F","Y","N",0,112500,"Working","Higher education","Married","Municipal apartment",-15417,-1569,1,0,0,0,"",2,-11,"good"
5792,"M","Y","Y",0,270000,"Working","Secondary / secondary special","Single / not married","House / apartment",-13805,-1557,1,0,0,0,"Laborers",1,-8,"good"
5793,"M","Y","N",0,112500,"Pensioner","Higher education","Married","House / apartment",-16804,365243,1,0,0,0,"",2,-41,"good"
5794,"F","N","N",0,94500,"Working","Higher education","Married","House / apartment",-16825,-196,1,0,0,0,"Security staff",2,-45,"bad"
5795,"M","N","Y",0,72900,"Pensioner","Lower secondary","Married","House / apartment",-23423,365243,1,0,0,0,"",2,-10,"bad"
5796,"F","Y","Y",0,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",-23197,365243,1,0,0,0,"",2,-31,"bad"
5797,"F","N","N",0,180000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-10141,-2531,1,0,0,0,"Cooking staff",1,-41,"good"
5798,"F","N","Y",1,135000,"Commercial associate","Higher education","Married","House / apartment",-10522,-895,1,0,0,0,"",3,-2,"good"
5799,"M","Y","Y",0,225000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-17706,-3043,1,0,1,0,"Laborers",2,-12,"good"
5800,"F","N","Y",0,157500,"Working","Higher education","Single / not married","House / apartment",-22235,-10600,1,0,0,0,"Laborers",1,-33,"good"
5801,"F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-16133,-582,1,0,0,0,"Sales staff",2,-3,"good"
5802,"F","N","N",0,180000,"Working","Higher education","Married","House / apartment",-12696,-3172,1,1,0,0,"Sales staff",2,-22,"good"
5803,"M","Y","Y",0,112500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-18491,-473,1,1,0,0,"Laborers",2,-46,"good"
5804,"F","N","N",0,90000,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-23130,365243,1,0,1,0,"",1,-43,"bad"
5805,"F","N","Y",0,144000,"State servant","Secondary / secondary special","Married","House / apartment",-18136,-10110,1,0,1,0,"High skill tech staff",2,-17,"good"
5806,"M","Y","N",1,450000,"Working","Higher education","Married","House / apartment",-19410,-5545,1,1,0,0,"Managers",3,-14,"good"
5807,"M","Y","Y",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-14948,-8100,1,0,0,0,"Laborers",2,-46,"bad"
5808,"F","N","Y",0,112500,"Pensioner","Secondary / secondary special","Married","House / apartment",-20843,365243,1,0,1,0,"",2,-39,"good"
5809,"M","N","N",0,157500,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-11888,-295,1,0,0,0,"Security staff",2,-19,"good"
5810,"M","Y","N",0,119250,"Working","Secondary / secondary special","Civil marriage","House / apartment",-17542,-645,1,0,0,1,"Drivers",2,-54,"bad"
5811,"F","N","Y",0,126000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-16092,-438,1,0,0,0,"Cleaning staff",2,-4,"good"
5812,"F","N","Y",0,243000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-21704,365243,1,0,0,0,"",1,-18,"bad"
5813,"F","N","N",2,112500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-12595,-4900,1,0,1,0,"High skill tech staff",4,-15,"bad"
5814,"F","N","Y",0,157500,"Working","Secondary / secondary special","Separated","House / apartment",-18540,-1534,1,0,0,0,"Sales staff",1,-34,"good"
5815,"F","Y","N",0,562500,"Working","Higher education","Married","House / apartment",-14654,-2836,1,1,0,0,"Managers",2,-22,"bad"
5816,"M","N","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-19291,-4967,1,1,1,0,"Laborers",2,-44,"good"
5817,"F","N","N",1,90000,"Working","Secondary / secondary special","Married","With parents",-10253,-1462,1,0,0,0,"Laborers",3,0,"good"
5818,"M","Y","Y",1,135000,"Working","Secondary / secondary special","Married","House / apartment",-9768,-1483,1,1,0,1,"Sales staff",3,-22,"bad"
5819,"F","N","N",0,292500,"Working","Secondary / secondary special","Separated","Municipal apartment",-10360,-3210,1,0,0,0,"Managers",1,-31,"bad"
5820,"F","N","N",0,135000,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-23019,365243,1,0,0,0,"",1,-38,"good"
5821,"F","N","Y",0,180000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-14401,365243,1,0,0,0,"",1,-17,"bad"
5822,"F","N","Y",0,148500,"Working","Secondary / secondary special","Married","House / apartment",-12279,-1844,1,1,0,0,"Laborers",2,-39,"good"
5823,"F","N","Y",1,135000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-16832,-1709,1,0,0,0,"Waiters/barmen staff",3,-11,"bad"
5824,"F","N","Y",0,157500,"Pensioner","Secondary / secondary special","Married","House / apartment",-21859,365243,1,0,0,0,"",2,-25,"bad"
5825,"M","Y","Y",1,450000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-18173,-678,1,0,1,1,"Core staff",1,-16,"bad"
5826,"M","Y","Y",1,135000,"Working","Secondary / secondary special","Married","House / apartment",-15266,-1410,1,0,0,0,"",3,-17,"bad"
5827,"F","Y","Y",3,243000,"Commercial associate","Higher education","Single / not married","Rented apartment",-23198,-1112,1,0,0,0,"Managers",4,-1,"good"
5828,"M","N","Y",1,198000,"Commercial associate","Incomplete higher","Single / not married","House / apartment",-9649,-140,1,0,0,0,"Managers",2,-18,"good"
5829,"F","N","N",0,90000,"Working","Secondary / secondary special","Married","House / apartment",-10061,-520,1,0,0,1,"High skill tech staff",2,-30,"good"
