"X","user_seq","rent_date","rent_place","bike_id","return_place","return_date","using_time","dist","user_age","user_type","bill_type","rent_hour","rent_days","rent_wdays","return_hour","return_day","return_wdays","month","region"
576446,18851475,"2019-02-08 06:39:16","ST-1447","19B00800003C0D","ST-1377","2019-02-08 06:56:33",16,3200,"AGE_006","USR_001","BIL_005",6,8,6,6,8,6,2,"동대문구"
576505,18851539,"2019-02-08 06:57:34","ST-946","19B0070000133F","ST-127","2019-02-08 07:06:47",8,1870,"AGE_004","USR_001","BIL_014",6,8,6,7,8,6,2,"중구"
576542,18851584,"2019-02-08 07:08:37","ST-227","19B0080000190F","ST-232","2019-02-08 07:13:25",4,880,"AGE_003","USR_001","BIL_005",7,8,6,7,8,6,2,"서대문구"
576567,18851614,"2019-02-08 07:08:20","ST-447","19B007000014AB","ST-1632","2019-02-08 07:17:07",8,2030,"AGE_003","USR_001","BIL_005",7,8,6,7,8,6,2,"성동구"
576575,18851623,"2019-02-08 07:08:21","ST-495","19B0080000357A","ST-487","2019-02-08 07:17:47",9,1830,"AGE_003","USR_001","BIL_015",7,8,6,7,8,6,2,"강동구"
576583,18851631,"2019-02-08 07:11:36","ST-1284","19B00800001E1B","ST-914","2019-02-08 07:18:05",5,860,"AGE_003","USR_001","BIL_004",7,8,6,7,8,6,2,"노원구"
576604,18851655,"2019-02-08 06:38:57","ST-951","19B00800002F33","ST-873","2019-02-08 07:21:22",41,8110,"AGE_002","USR_001","BIL_005",6,8,6,7,8,6,2,"관악구"
576689,18851745,"2019-02-08 07:13:13","ST-1043","19B00800003578","ST-503","2019-02-08 07:31:42",18,4690,"AGE_004","USR_001","BIL_004",7,8,6,7,8,6,2,"강동구"
576810,18851873,"2019-02-08 07:37:59","ST-122","19B008000033A7","ST-137","2019-02-08 07:46:25",7,940,"AGE_005","USR_001","BIL_005",7,8,6,7,8,6,2,"종로구"
576895,18851968,"2019-02-08 07:41:08","ST-409","19B008000033FB","ST-407","2019-02-08 07:52:10",10,2060,"AGE_004","USR_001","BIL_005",7,8,6,7,8,6,2,"동대문구"
576997,18852078,"2019-02-08 07:51:04","ST-301","19B008000020D9","ST-303","2019-02-08 07:59:34",7,950,"AGE_005","USR_001","BIL_015",7,8,6,7,8,6,2,"영등포구"
577212,18852315,"2019-02-08 08:05:51","ST-231","19B008000038D3","ST-13","2019-02-08 08:13:56",7,1940,"AGE_004","USR_001","BIL_005",8,8,6,8,8,6,2,"서대문구"
577226,18852329,"2019-02-08 08:06:50","ST-289","19B00800003650","ST-1319","2019-02-08 08:14:38",7,1670,"AGE_002","USR_001","BIL_014",8,8,6,8,8,6,2,"영등포구"
577311,18852420,"2019-02-08 08:07:46","ST-1146","19B009000047B5","ST-622","2019-02-08 08:18:45",10,1760,"AGE_002","USR_001","BIL_002",8,8,6,8,8,6,2,"금천구"
577377,18852496,"2019-02-08 08:17:14","ST-368","19B007000017D3","ST-364","2019-02-08 08:21:28",3,900,"AGE_002","USR_001","BIL_014",8,8,6,8,8,6,2,"성동구"
577611,18852764,"2019-02-08 08:24:31","ST-508","19B0080000201B","ST-513","2019-02-08 08:32:30",6,1180,"AGE_003","USR_001","BIL_004",8,8,6,8,8,6,2,"강서구"
577619,18852773,"2019-02-08 08:21:31","ST-1727","19B00700000DC8","ST-1064","2019-02-08 08:32:49",11,1870,"AGE_005","USR_001","BIL_015",8,8,6,8,8,6,2,"강서구"
577648,18852804,"2019-02-08 08:27:28","ST-445","19B007000013B7","ST-364","2019-02-08 08:34:19",6,950,"AGE_002","USR_001","BIL_006",8,8,6,8,8,6,2,"광진구"
577685,18852845,"2019-02-08 08:30:43","ST-372","19B00800003815","ST-1377","2019-02-08 08:36:14",5,1130,"AGE_002","USR_001","BIL_004",8,8,6,8,8,6,2,"성동구"
577910,18853092,"2019-02-08 08:37:18","ST-136","19B008000037DB","ST-151","2019-02-08 08:43:49",6,1120,"AGE_004","USR_001","BIL_014",8,8,6,8,8,6,2,"중구"
578101,18853299,"2019-02-08 08:36:31","ST-426","19B00800002567","ST-296","2019-02-08 08:49:37",12,2200,"AGE_003","USR_001","BIL_002",8,8,6,8,8,6,2,"영등포구"
578157,18853357,"2019-02-08 08:49:19","ST-403","19B0080000266F","ST-404","2019-02-08 08:51:03",1,340,"AGE_003","USR_001","BIL_015",8,8,6,8,8,6,2,"동대문구"
578166,18853366,"2019-02-08 08:39:56","ST-382","19B008000034B1","ST-364","2019-02-08 08:51:15",10,1250,"AGE_002","USR_001","BIL_002",8,8,6,8,8,6,2,"광진구"
578269,18853472,"2019-02-08 08:47:22","ST-514","19B00800003CD6","ST-1251","2019-02-08 08:54:19",6,1900,"AGE_003","USR_001","BIL_005",8,8,6,8,8,6,2,"강서구"
578470,18853686,"2019-02-08 08:57:05","ST-451","19B00700001609","ST-1481","2019-02-08 09:03:57",6,1290,"AGE_005","USR_001","BIL_005",8,8,6,9,8,6,2,"은평구"
578591,18853819,"2019-02-08 09:08:09","ST-413","19B00900004757","ST-287","2019-02-08 09:13:26",4,940,"AGE_003","USR_001","BIL_001",9,8,6,9,8,6,2,"영등포구"
578729,18853968,"2019-02-08 09:18:34","ST-1374","19B006000002CE","ST-124","2019-02-08 09:24:10",5,1140,"AGE_003","USR_001","BIL_005",9,8,6,9,8,6,2,"종로구"
578786,18854033,"2019-02-08 08:41:43","ST-1678","19B00800001982","ST-1547","2019-02-08 09:29:44",47,3850,"AGE_003","USR_001","BIL_015",8,8,6,9,8,6,2,"관악구"
579119,18854390,"2019-02-08 09:36:44","ST-1369","19B00900004956","ST-1087","2019-02-08 09:55:18",17,4050,"AGE_002","USR_001","BIL_004",9,8,6,9,8,6,2,"강동구"
579286,18854567,"2019-02-08 10:07:54","ST-1245","19B00800002A00","ST-1178","2019-02-08 10:12:56",4,940,"AGE_004","USR_001","BIL_004",10,8,6,10,8,6,2,"강남구"
579300,18854581,"2019-02-08 09:35:36","ST-199","19B009000045C9","ST-199","2019-02-08 10:14:37",38,1420,"AGE_004","USR_001","BIL_005",9,8,6,10,8,6,2,"중구"
579344,18854627,"2019-02-08 09:58:22","ST-1455","19B006000007C5","ST-398","2019-02-08 10:20:20",21,4090,"AGE_007","USR_001","BIL_005",9,8,6,10,8,6,2,"성북구"
579358,18854642,"2019-02-08 10:06:08","ST-892","19B00800002671","ST-1070","2019-02-08 10:21:27",14,2850,"AGE_002","USR_001","BIL_005",10,8,6,10,8,6,2,"송파구"
579450,18854743,"2019-02-08 10:29:17","ST-1332","19B00800001A5C","ST-1097","2019-02-08 10:36:16",6,960,"AGE_004","USR_001","BIL_002",10,8,6,10,8,6,2,"중랑구"
579593,18854899,"2019-02-08 10:49:23","ST-1207","19B00900004624","ST-158","2019-02-08 10:56:26",6,1400,"AGE_003","USR_001","BIL_002",10,8,6,10,8,6,2,"성북구"
579845,18855170,"2019-02-08 10:52:55","ST-1697","19B0080000322E","ST-1699","2019-02-08 11:31:46",36,3220,"AGE_005","USR_001","BIL_014",10,8,6,11,8,6,2,"영등포구"
579952,18855283,"2019-02-08 11:38:39","ST-119","19B00700000D5F","ST-977","2019-02-08 11:44:12",5,1000,"AGE_008","USR_003","BIL_007",11,8,6,11,8,6,2,"종로구"
579959,18855291,"2019-02-08 11:37:27","ST-1374","19B00800003C66","ST-125","2019-02-08 11:44:34",6,1380,"AGE_002","USR_001","BIL_004",11,8,6,11,8,6,2,"종로구"
580009,18855344,"2019-02-08 11:39:20","ST-52","19B0090000471E","ST-1319","2019-02-08 11:51:02",11,1990,"AGE_004","USR_001","BIL_005",11,8,6,11,8,6,2,"영등포구"
580019,18855354,"2019-02-08 11:43:38","ST-763","19B00800003EFC","ST-764","2019-02-08 11:51:50",7,1130,"AGE_006","USR_001","BIL_002",11,8,6,11,8,6,2,"서초구"
580092,18855431,"2019-02-08 11:52:53","ST-193","19B009000047D2","ST-1440","2019-02-08 11:58:57",3,380,"AGE_002","USR_001","BIL_004",11,8,6,11,8,6,2,"중구"
580224,18855580,"2019-02-08 12:02:09","ST-1714","19B009000049BD","ST-1250","2019-02-08 12:14:28",11,1920,"AGE_005","USR_001","BIL_006",12,8,6,12,8,6,2,"강서구"
580230,18855588,"2019-02-08 12:04:13","ST-1087","19B007000017F6","ST-891","2019-02-08 12:15:38",11,1380,"AGE_002","USR_001","BIL_005",12,8,6,12,8,6,2,"송파구"
580275,18855634,"2019-02-08 11:23:38","ST-269","19B0080000291C","ST-269","2019-02-08 12:21:23",55,3510,"AGE_002","USR_001","BIL_004",11,8,6,12,8,6,2,"동대문구"
580470,18855838,"2019-02-08 12:37:35","ST-281","19B0080000423D","ST-413","2019-02-08 12:42:07",4,850,"AGE_003","USR_001","BIL_004",12,8,6,12,8,6,2,"영등포구"
580495,18855864,"2019-02-08 12:35:06","ST-1352","19B00800003B30","ST-1714","2019-02-08 12:44:20",8,1680,"AGE_002","USR_001","BIL_002",12,8,6,12,8,6,2,"강서구"
580628,18856001,"2019-02-08 12:45:55","ST-1394","19B008000031CD","ST-914","2019-02-08 12:56:12",10,1800,"AGE_002","USR_001","BIL_004",12,8,6,12,8,6,2,"노원구"
580975,18856367,"2019-02-08 12:49:33","ST-951","19B00800003372","ST-702","2019-02-08 13:27:31",37,4350,"AGE_003","USR_001","BIL_005",12,8,6,13,8,6,2,"관악구"
581179,18856593,"2019-02-08 13:39:49","ST-492","19B00900004734","ST-493","2019-02-08 13:48:47",8,1570,"AGE_002","USR_001","BIL_004",13,8,6,13,8,6,2,"강동구"
581218,18856639,"2019-02-08 13:47:06","ST-1546","19B0080000448F","ST-1265","2019-02-08 13:52:31",5,770,"AGE_003","USR_001","BIL_005",13,8,6,13,8,6,2,"관악구"
581274,18856699,"2019-02-08 13:41:28","ST-1496","19B00800002637","ST-312","2019-02-08 13:58:12",16,2600,"AGE_004","USR_001","BIL_006",13,8,6,13,8,6,2,"양천구"
581305,18856732,"2019-02-08 13:50:49","ST-1714","19B00800003C2D","ST-1253","2019-02-08 14:01:27",10,1490,"AGE_002","USR_001","BIL_001",13,8,6,14,8,6,2,"강서구"
581340,18856769,"2019-02-08 13:55:47","ST-147","19B00800003717","ST-195","2019-02-08 14:04:43",8,1770,"AGE_004","USR_001","BIL_015",13,8,6,14,8,6,2,"중구"
581542,18856996,"2019-02-08 14:14:29","ST-1058","19B00900004C8C","ST-1594","2019-02-08 14:24:26",9,1290,"AGE_002","USR_001","BIL_002",14,8,6,14,8,6,2,"강동구"
581550,18857005,"2019-02-08 14:08:04","ST-1497","19B0080000446D","ST-662","2019-02-08 14:25:01",16,3270,"AGE_004","USR_001","BIL_004",14,8,6,14,8,6,2,"양천구"
581626,18857090,"2019-02-08 14:09:31","ST-10","19B00700000A70","ST-10","2019-02-08 14:30:17",20,840,"AGE_002","USR_001","BIL_005",14,8,6,14,8,6,2,"마포구"
581691,18857159,"2019-02-08 14:22:13","ST-1730","19B00800004015","ST-1584","2019-02-08 14:36:39",14,1940,"AGE_002","USR_001","BIL_014",14,8,6,14,8,6,2,"송파구"
581822,18857304,"2019-02-08 14:31:53","ST-1223","19B00900004E29","ST-1275","2019-02-08 14:49:09",15,1570,"AGE_003","USR_001","BIL_004",14,8,6,14,8,6,2,"구로구"
581855,18857344,"2019-02-08 14:02:36","ST-972","19B00900004750","ST-972","2019-02-08 14:51:33",48,2160,"AGE_005","USR_001","BIL_004",14,8,6,14,8,6,2,"광진구"
581968,18857470,"2019-02-08 14:53:36","ST-557","19B00600000070","ST-557","2019-02-08 15:01:34",7,0,"AGE_003","USR_001","BIL_006",14,8,6,15,8,6,2,"성북구"
582017,18857523,"2019-02-08 14:48:21","ST-883","19B0090000484E","ST-1543","2019-02-08 15:05:28",16,3420,"AGE_005","USR_001","BIL_002",14,8,6,15,8,6,2,"관악구"
582169,18857688,"2019-02-08 15:09:35","ST-455","19B00800003D20","ST-465","2019-02-08 15:18:48",8,1790,"AGE_003","USR_001","BIL_004",15,8,6,15,8,6,2,"은평구"
582245,18857766,"2019-02-08 14:52:17","ST-1639","19B00800001BA6","ST-1293","2019-02-08 15:24:36",31,3590,"AGE_002","USR_001","BIL_002",14,8,6,15,8,6,2,"노원구"
582310,18857840,"2019-02-08 14:51:50","ST-827","19B00800003860","ST-1609","2019-02-08 15:30:33",38,3440,"AGE_004","USR_001","BIL_015",14,8,6,15,8,6,2,"성북구"
582347,18857880,"2019-02-08 15:27:26","ST-231","19B00800001874","ST-348","2019-02-08 15:34:09",6,1320,"AGE_002","USR_001","BIL_002",15,8,6,15,8,6,2,"서대문구"
582363,18857896,"2019-02-08 15:19:24","ST-108","19B0070000133D","ST-1195","2019-02-08 15:36:05",16,1900,"AGE_004","USR_001","BIL_002",15,8,6,15,8,6,2,"성동구"
582615,18858162,"2019-02-08 15:44:58","ST-4","19B00800003CBB","ST-341","2019-02-08 15:55:59",10,1890,"AGE_008","USR_003","BIL_007",15,8,6,15,8,6,2,"마포구"
582738,18858293,"2019-02-08 15:59:11","ST-99","19B008000044A9","ST-258","2019-02-08 16:06:16",6,800,"AGE_002","USR_001","BIL_004",15,8,6,16,8,6,2,"광진구"
582839,18858403,"2019-02-08 16:05:21","ST-810","19B007000015BC","ST-814","2019-02-08 16:16:11",10,1850,"AGE_003","USR_001","BIL_004",16,8,6,16,8,6,2,"강남구"
582863,18858427,"2019-02-08 16:07:54","ST-816","19B00800002912","ST-1166","2019-02-08 16:17:35",9,2030,"AGE_003","USR_001","BIL_014",16,8,6,16,8,6,2,"강남구"
583244,18858834,"2019-02-08 13:48:48","ST-1700","19B00800003B33","ST-994","2019-02-08 16:47:16",178,6210,"AGE_003","USR_001","BIL_014",13,8,6,16,8,6,2,"영등포구"
583266,18858856,"2019-02-08 16:33:31","ST-16","19B00800001CD5","ST-8","2019-02-08 16:48:54",14,1160,"AGE_002","USR_001","BIL_006",16,8,6,16,8,6,2,"마포구"
583383,18858989,"2019-02-08 16:41:17","ST-410","19B00800003D63","ST-983","2019-02-08 16:57:53",16,64200,"AGE_008","USR_003","BIL_007",16,8,6,16,8,6,2,"동대문구"
583446,18859055,"2019-02-08 16:50:15","ST-1297","19B007000014F9","ST-1289","2019-02-08 17:02:23",11,2300,"AGE_002","USR_001","BIL_005",16,8,6,17,8,6,2,"도봉구"
583515,18859132,"2019-02-08 17:03:02","ST-1332","19B00700000EC0","ST-568","2019-02-08 17:08:28",5,790,"AGE_002","USR_001","BIL_002",17,8,6,17,8,6,2,"중랑구"
583934,18859575,"2019-02-08 17:14:45","ST-1487","19B00900004D7B","ST-464","2019-02-08 17:36:52",20,3010,"AGE_003","USR_001","BIL_004",17,8,6,17,8,6,2,"은평구"
583938,18859579,"2019-02-08 17:08:54","ST-136","19B00900004678","ST-146","2019-02-08 17:36:55",27,3660,"AGE_006","USR_001","BIL_005",17,8,6,17,8,6,2,"중구"
583960,18859601,"2019-02-08 17:20:09","ST-499","19B00800003EB1","ST-503","2019-02-08 17:38:10",17,3870,"AGE_004","USR_001","BIL_004",17,8,6,17,8,6,2,"강동구"
584037,18859681,"2019-02-08 17:20:07","ST-68","19B0070000169D","ST-426","2019-02-08 17:42:17",21,4710,"AGE_004","USR_001","BIL_004",17,8,6,17,8,6,2,"영등포구"
584323,18859994,"2019-02-08 17:52:23","ST-1245","19B00700001497","ST-1575","2019-02-08 17:58:24",5,1110,"AGE_003","USR_001","BIL_005",17,8,6,17,8,6,2,"강남구"
584403,18860086,"2019-02-08 17:57:35","ST-744","19B00800003255","ST-742","2019-02-08 18:03:06",5,1180,"AGE_003","USR_001","BIL_005",17,8,6,18,8,6,2,"서초구"
584497,18860187,"2019-02-08 16:51:45","ST-1440","19B00800003455","ST-1440","2019-02-08 18:06:57",74,3160,"AGE_002","USR_001","BIL_015",16,8,6,18,8,6,2,"중구"
584625,18860329,"2019-02-08 18:07:13","ST-86","19B00900004574","ST-95","2019-02-08 18:12:42",5,1080,"AGE_002","USR_001","BIL_004",18,8,6,18,8,6,2,"마포구"
584652,18860357,"2019-02-08 18:07:45","ST-1356","19B0080000380C","ST-298","2019-02-08 18:13:34",5,730,"AGE_003","USR_001","BIL_005",18,8,6,18,8,6,2,"동작구"
584753,18860470,"2019-02-08 18:05:56","ST-1584","19B00700001471","ST-1590","2019-02-08 18:17:58",11,1560,"AGE_002","USR_001","BIL_005",18,8,6,18,8,6,2,"송파구"
584790,18860514,"2019-02-08 18:11:22","ST-994","19B00800003E01","ST-311","2019-02-08 18:20:00",8,960,"AGE_004","USR_001","BIL_004",18,8,6,18,8,6,2,"양천구"
584946,18860676,"2019-02-08 18:07:46","ST-416","19B00900004989","ST-294","2019-02-08 18:25:05",16,1610,"AGE_002","USR_001","BIL_004",18,8,6,18,8,6,2,"영등포구"
584951,18860682,"2019-02-08 17:45:34","ST-623","19B00800003CFB","ST-875","2019-02-08 18:25:21",39,239150,"AGE_005","USR_001","BIL_002",17,8,6,18,8,6,2,"금천구"
584979,18860711,"2019-02-08 18:15:37","ST-208","19B00900004C9C","ST-14","2019-02-08 18:26:40",10,2460,"AGE_003","USR_001","BIL_014",18,8,6,18,8,6,2,"마포구"
585057,18860797,"2019-02-08 18:09:04","ST-805","19B00800003C33","ST-933","2019-02-08 18:28:59",19,2970,"AGE_003","USR_001","BIL_005",18,8,6,18,8,6,2,"강남구"
585180,18860933,"2019-02-08 18:27:14","ST-95","19B00800002419","ST-96","2019-02-08 18:33:37",6,760,"AGE_003","USR_001","BIL_005",18,8,6,18,8,6,2,"마포구"
585796,18861589,"2019-02-08 18:42:11","ST-750","19B00800003336","ST-1161","2019-02-08 18:57:08",14,3070,"AGE_002","USR_001","BIL_006",18,8,6,18,8,6,2,"서초구"
585908,18861711,"2019-02-08 18:49:09","ST-82","19B00800003543","ST-208","2019-02-08 19:02:08",12,1790,"AGE_003","USR_001","BIL_014",18,8,6,19,8,6,2,"마포구"
585926,18861731,"2019-02-08 18:55:34","ST-1302","19B00800002BB7","ST-566","2019-02-08 19:02:52",6,910,"AGE_003","USR_001","BIL_005",18,8,6,19,8,6,2,"동대문구"
586123,18861947,"2019-02-08 18:32:21","ST-161","19B00800002931","ST-1201","2019-02-08 19:11:53",0,0,"AGE_003","USR_001","BIL_015",18,8,6,19,8,6,2,"종로구"
586279,18862116,"2019-02-08 18:56:11","ST-1719","19B009000049C7","ST-740","2019-02-08 19:19:56",23,2170,"AGE_003","USR_001","BIL_005",18,8,6,19,8,6,2,"송파구"
586328,18862171,"2019-02-08 19:17:18","ST-293","19B00800004222","ST-295","2019-02-08 19:22:35",4,590,"AGE_003","USR_001","BIL_004",19,8,6,19,8,6,2,"영등포구"
586352,18862197,"2019-02-08 18:44:29","ST-664","19B0080000353D","ST-1526","2019-02-08 19:24:04",39,4930,"AGE_002","USR_001","BIL_005",18,8,6,19,8,6,2,"구로구"
586423,18862274,"2019-02-08 18:59:33","ST-592","19B00800002385","ST-1451","2019-02-08 19:27:20",27,2930,"AGE_003","USR_001","BIL_015",18,8,6,19,8,6,2,"중랑구"
586435,18862287,"2019-02-08 19:12:54","ST-650","19B008000041E0","ST-1388","2019-02-08 19:27:58",14,2410,"AGE_002","USR_001","BIL_004",19,8,6,19,8,6,2,"강북구"
586634,18862507,"2019-02-08 19:03:55","ST-705","19B007000017A5","ST-1337","2019-02-08 19:38:57",34,5380,"AGE_002","USR_001","BIL_002",19,8,6,19,8,6,2,"관악구"
586680,18862558,"2019-02-08 19:15:31","ST-1577","19B00800002F9E","ST-1182","2019-02-08 19:41:46",25,5540,"AGE_004","USR_001","BIL_015",19,8,6,19,8,6,2,"강남구"
586782,18862666,"2019-02-08 19:26:57","ST-728","19B007000016D6","ST-700","2019-02-08 19:48:08",20,2130,"AGE_003","USR_001","BIL_004",19,8,6,19,8,6,2,"동작구"
586837,18862728,"2019-02-08 18:13:54","ST-311","19B00800003FBE","ST-1331","2019-02-08 19:50:53",96,17650,"AGE_003","USR_001","BIL_014",18,8,6,19,8,6,2,"양천구"
586854,18862746,"2019-02-08 19:44:50","ST-19","19B00800004349","ST-31","2019-02-08 19:51:48",6,1090,"AGE_002","USR_001","BIL_005",19,8,6,19,8,6,2,"마포구"
586903,18862799,"2019-02-08 19:40:40","ST-827","19B007000011B8","ST-1455","2019-02-08 19:54:45",13,1490,"AGE_002","USR_001","BIL_004",19,8,6,19,8,6,2,"성북구"
586910,18862806,"2019-02-08 19:45:19","ST-853","19B00900004645","ST-1346","2019-02-08 19:54:58",9,1560,"AGE_003","USR_001","BIL_004",19,8,6,19,8,6,2,"중랑구"
586938,18862837,"2019-02-08 19:46:32","ST-1539","19B00700001160","ST-416","2019-02-08 19:56:37",9,1570,"AGE_003","USR_001","BIL_004",19,8,6,19,8,6,2,"영등포구"
587109,18863021,"2019-02-08 20:07:03","ST-1280","19B00700000F8A","ST-600","2019-02-08 20:10:29",3,920,"AGE_002","USR_001","BIL_002",20,8,6,20,8,6,2,"노원구"
587230,18863153,"2019-02-08 20:03:04","ST-1278","19B009000046D7","ST-1283","2019-02-08 20:19:59",16,2440,"AGE_002","USR_001","BIL_014",20,8,6,20,8,6,2,"노원구"
587249,18863173,"2019-02-08 20:12:55","ST-826","19B00800003032","ST-1424","2019-02-08 20:21:26",8,880,"AGE_004","USR_001","BIL_005",20,8,6,20,8,6,2,"성북구"
587322,18863262,"2019-02-08 20:06:08","ST-712","19B00900004BBF","ST-751","2019-02-08 20:27:27",20,2870,"AGE_005","USR_001","BIL_004",20,8,6,20,8,6,2,"관악구"
587339,18863281,"2019-02-08 20:19:50","ST-895","19B008000042BC","ST-1589","2019-02-08 20:29:23",9,2100,"AGE_002","USR_001","BIL_004",20,8,6,20,8,6,2,"송파구"
587439,18863387,"2019-02-08 20:29:04","ST-118","19B00800002D95","ST-131","2019-02-08 20:37:48",8,1170,"AGE_004","USR_001","BIL_014",20,8,6,20,8,6,2,"종로구"
587758,18863730,"2019-02-08 20:48:31","ST-453","19B00800003ECE","ST-1038","2019-02-08 21:04:29",15,2850,"AGE_002","USR_001","BIL_015",20,8,6,21,8,6,2,"은평구"
587798,18863773,"2019-02-08 20:58:39","ST-849","19B008000043A0","ST-595","2019-02-08 21:07:40",8,1130,"AGE_002","USR_001","BIL_005",20,8,6,21,8,6,2,"중랑구"
587880,18863869,"2019-02-08 21:12:05","ST-608","19B00800004319","ST-1122","2019-02-08 21:15:51",3,590,"AGE_002","USR_001","BIL_004",21,8,6,21,8,6,2,"노원구"
587927,18863920,"2019-02-08 21:16:24","ST-1668","19B00800004489","ST-336","2019-02-08 21:20:37",3,460,"AGE_002","USR_001","BIL_006",21,8,6,21,8,6,2,"중구"
588054,18864064,"2019-02-08 20:37:16","ST-616","19B008000031CD","ST-658","2019-02-08 21:34:38",55,1940,"AGE_006","USR_001","BIL_005",20,8,6,21,8,6,2,"도봉구"
588103,18864118,"2019-02-08 21:28:03","ST-752","19B00800003FAB","ST-1306","2019-02-08 21:40:08",11,1950,"AGE_002","USR_001","BIL_016",21,8,6,21,8,6,2,"서초구"
588142,18864160,"2019-02-08 20:03:27","ST-715","19B00900004E3C","ST-1548","2019-02-08 21:42:50",95,290,"AGE_003","USR_001","BIL_014",20,8,6,21,8,6,2,"관악구"
588199,18864221,"2019-02-08 21:00:19","ST-1554","19B00800004265","ST-763","2019-02-08 21:47:20",46,4460,"AGE_004","USR_001","BIL_014",21,8,6,21,8,6,2,"서초구"
588304,18864334,"2019-02-08 21:17:41","ST-951","19B00800001982","ST-1678","2019-02-08 21:55:54",37,7060,"AGE_002","USR_001","BIL_014",21,8,6,21,8,6,2,"관악구"
588462,18864517,"2019-02-08 21:50:05","ST-640","19B00900004A46","ST-663","2019-02-08 22:11:52",20,5090,"AGE_005","USR_001","BIL_015",21,8,6,22,8,6,2,"금천구"
588477,18864535,"2019-02-08 22:07:55","ST-965","19B00900004A91","ST-719","2019-02-08 22:13:12",4,760,"AGE_003","USR_001","BIL_015",22,8,6,22,8,6,2,"관악구"
588661,18864734,"2019-02-08 22:16:08","ST-943","19B00800003E42","ST-195","2019-02-08 22:26:53",10,860,"AGE_002","USR_001","BIL_002",22,8,6,22,8,6,2,"중구"
588730,18864808,"2019-02-08 22:18:07","ST-443","19B00800003A28","ST-77","2019-02-08 22:32:27",14,3070,"AGE_004","USR_001","BIL_015",22,8,6,22,8,6,2,"마포구"
588846,18864930,"2019-02-08 22:33:10","ST-787","19B00900004C39","ST-746","2019-02-08 22:43:29",9,1360,"AGE_003","USR_001","BIL_015",22,8,6,22,8,6,2,"강남구"
588856,18864940,"2019-02-08 22:25:38","ST-18","19B00800002801","ST-555","2019-02-08 22:44:37",18,3680,"AGE_003","USR_001","BIL_015",22,8,6,22,8,6,2,"마포구"
588874,18864960,"2019-02-08 21:34:41","ST-341","19B007000010EA","ST-10","2019-02-08 22:47:05",72,2310,"AGE_006","USR_001","BIL_015",21,8,6,22,8,6,2,"마포구"
588979,18865075,"2019-02-08 22:48:40","ST-1651","19B00700000C0A","ST-1237","2019-02-08 22:55:40",6,1090,"AGE_002","USR_001","BIL_015",22,8,6,22,8,6,2,"영등포구"
589087,18865192,"2019-02-08 22:55:41","ST-1668","19B0080000359F","ST-123","2019-02-08 23:04:49",8,1340,"AGE_002","USR_001","BIL_004",22,8,6,23,8,6,2,"중구"
589097,18865203,"2019-02-08 23:03:01","ST-454","19B00800003C6A","ST-456","2019-02-08 23:06:17",2,530,"AGE_003","USR_001","BIL_015",23,8,6,23,8,6,2,"은평구"
589179,18865292,"2019-02-08 23:11:16","ST-825","19B0090000475C","ST-931","2019-02-08 23:14:21",2,640,"AGE_005","USR_001","BIL_015",23,8,6,23,8,6,2,"성북구"
589228,18865343,"2019-02-08 23:10:13","ST-406","19B00800002FE3","ST-390","2019-02-08 23:18:28",7,1510,"AGE_002","USR_001","BIL_002",23,8,6,23,8,6,2,"동대문구"
589306,18865426,"2019-02-08 23:11:26","ST-1002","19B008000040A8","ST-312","2019-02-08 23:24:38",12,2030,"AGE_002","USR_001","BIL_014",23,8,6,23,8,6,2,"양천구"
589611,18865760,"2019-02-08 23:59:53","ST-1302","19B0080000441E","ST-396","2019-02-09 00:03:47",3,730,"AGE_005","USR_001","BIL_004",23,8,6,0,9,7,2,"동대문구"
589778,18865898,"2019-02-09 00:13:17","ST-952","19B00800003837","ST-702","2019-02-09 00:18:40",5,1670,"AGE_005","USR_001","BIL_005",0,9,7,0,9,7,2,"관악구"
589859,18866002,"2019-02-09 00:27:13","ST-975","19B00800003967","ST-1254","2019-02-09 00:29:34",2,490,"AGE_002","USR_001","BIL_004",0,9,7,0,9,7,2,"강서구"
589866,18866012,"2019-02-09 00:19:31","ST-98","19B00800004138","ST-257","2019-02-09 00:30:58",11,1840,"AGE_002","USR_001","BIL_004",0,9,7,0,9,7,2,"광진구"
589882,18866032,"2019-02-09 00:27:14","ST-914","19B00900004873","ST-1124","2019-02-09 00:32:59",5,870,"AGE_003","USR_001","BIL_004",0,9,7,0,9,7,2,"노원구"
589907,18866065,"2019-02-09 00:18:10","ST-312","19B00800002740","ST-1523","2019-02-09 00:36:09",16,51570,"AGE_003","USR_001","BIL_006",0,9,7,0,9,7,2,"양천구"
589991,18866163,"2019-02-09 00:40:12","ST-1546","19B0080000339A","ST-703","2019-02-09 00:47:00",6,650,"AGE_002","USR_001","BIL_004",0,9,7,0,9,7,2,"관악구"
590076,18866256,"2019-02-09 00:43:35","ST-724","19B007000012C7","ST-951","2019-02-09 00:57:50",13,1750,"AGE_003","USR_001","BIL_006",0,9,7,0,9,7,2,"관악구"
590090,18866272,"2019-02-09 00:45:14","ST-713","19B00800001FBB","ST-711","2019-02-09 00:59:55",14,2700,"AGE_004","USR_001","BIL_005",0,9,7,0,9,7,2,"관악구"
